club,name,age,position,club_involved,fee,transfer_movement,fee_cleaned,league,year
SC Braga,KazeemKazeem,21,Attacking Midfield,Oliveira Douro,Loan,out,0,primeira-liga,2009
SC Braga,WenderWender,34,Left Winger,Ermis Aradippou,?,out,NA,primeira-liga,2009
SC Braga,Bruno TiagoBruno Tiago,28,Central Midfield,Retired,-,out,0,primeira-liga,2009
SC Braga,Luis AguiarL. Aguiar,24,Central Midfield,Dinamo Moscow,"End of loanMay 1, 2010",out,0,primeira-liga,2009
SC Braga,Rodrigo PossebonR. Possebon,20,Central Midfield,Man Utd,"End of loanDec 31, 2009",out,0,primeira-liga,2009
SC Braga,Wason RenteríaW. Rentería,23,Centre-Forward,FC Porto,"End of loanJun 30, 2009",out,0,primeira-liga,2009
SC Braga,EdimarEdimar,23,Left-Back,Cruzeiro,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Leixões SC,CauêCauê,20,Defensive Midfield,Santo André,£45k,in,0.045,primeira-liga,2009
Leixões SC,FaioliFaioli,25,Centre-Forward,Vasco da Gama,Free Transfer,in,0,primeira-liga,2009
Leixões SC,WênioWênio,29,Attacking Midfield,Vit. Guimarães,Free Transfer,in,0,primeira-liga,2009
Leixões SC,LéoLéo,25,Centre-Forward,Paulista FC,Free Transfer,in,0,primeira-liga,2009
Leixões SC,Fernando AlexandreFernando Alexandre,23,Defensive Midfield,Braga,Loan,in,0,primeira-liga,2009
Leixões SC,Roberto TuckerR. Tucker,26,Centre-Back,Quilmes,Free Transfer,in,0,primeira-liga,2009
Leixões SC,Vitorino AntunesV. Antunes,22,Left-Back,AS Roma,Loan,in,0,primeira-liga,2009
Leixões SC,João PauloJoão Paulo,29,Centre-Forward,Rapid Bucharest,?,in,NA,primeira-liga,2009
Leixões SC,Christian PougaC. Pouga,23,Centre-Forward,Sevilla Atl.,Loan,in,0,primeira-liga,2009
Leixões SC,DiegoDiego,30,Goalkeeper,Santo André,?,in,NA,primeira-liga,2009
Leixões SC,Fernando CardozoF. Cardozo,30,Centre-Back,Marítimo,Loan,in,0,primeira-liga,2009
Leixões SC,Cong Vinh LeC. Le,23,Centre-Forward,Ha Noi FC,Loan,in,0,primeira-liga,2009
Leixões SC,Fábio EspinhoFábio Espinho,23,Attacking Midfield,Espinho,?,in,NA,primeira-liga,2009
Leixões SC,Cristian TrombettaC. Trombetta,22,Left-Back,Nueva Chicago,?,in,NA,primeira-liga,2009
Leixões SC,DidiDidi,27,Second Striker,CFR Cluj,Loan,in,0,primeira-liga,2009
Leixões SC,Nélson LenhoNélson Lenho,25,Left-Back,Freamunde,?,in,NA,primeira-liga,2009
Leixões SC,Bruno GalloBruno Gallo,21,Central Midfield,Vasco da Gama,Loan,in,0,primeira-liga,2009
Leixões SC,Nelson BenítezN. Benítez,25,Left-Back,FC Porto,Loan,in,0,primeira-liga,2009
Leixões SC,Nuno SequeiraN. Sequeira,18,Left-Back,Leixões U19,-,in,0,primeira-liga,2009
Leixões SC,Tiago CintraT. Cintra,20,Centre-Forward,Amarante,"End of loanJun 1, 2009",in,0,primeira-liga,2009
Leixões SC,Ruben SaldanhaR. Saldanha,21,Right Midfield,Esmoriz,"End of loanJun 30, 2009",in,0,primeira-liga,2009
Leixões SC,Pedro SeabraP. Seabra,21,Centre-Back,Padroense,"End of loanJun 30, 2009",in,0,primeira-liga,2009
Leixões SC,BetoBeto,27,Goalkeeper,FC Porto,£360k,out,0.36,primeira-liga,2009
Leixões SC,Bruno ChinaBruno China,26,Central Midfield,RCD Mallorca,£360k,out,0.36,primeira-liga,2009
Leixões SC,WênioWênio,30,Attacking Midfield,FC Baku,Free Transfer,out,0,primeira-liga,2009
Leixões SC,Élvis PereiraÉlvis Pereira,31,Centre-Back,Feirense,Free Transfer,out,0,primeira-liga,2009
Leixões SC,ChumbinhoChumbinho,22,Attacking Midfield,Ethn. Piraeus,Free Transfer,out,0,primeira-liga,2009
Leixões SC,RobertoRoberto,32,Centre-Forward,Feirense,Free Transfer,out,0,primeira-liga,2009
Leixões SC,Ruben SaldanhaR. Saldanha,21,Right Midfield,Varzim,Free Transfer,out,0,primeira-liga,2009
Leixões SC,Nuno SequeiraN. Sequeira,18,Left-Back,Leça,Loan,out,0,primeira-liga,2009
Leixões SC,FaioliFaioli,26,Centre-Forward,Duque de Caxias,Free Transfer,out,0,primeira-liga,2009
Leixões SC,Vasco FernandesVasco Fernandes,22,Centre-Back,Celta de Vigo,Loan,out,0,primeira-liga,2009
Leixões SC,Brayan AnguloB. Angulo,19,Left-Back,Dep. La Coruña,?,out,NA,primeira-liga,2009
Leixões SC,Sandro SilvaSandro Silva,26,Centre-Back,Olhanense,?,out,NA,primeira-liga,2009
Leixões SC,Nelson BenítezN. Benítez,25,Left-Back,FC Porto,"End of loanOct 1, 2009",out,0,primeira-liga,2009
Leixões SC,Cong Vinh LeC. Le,24,Centre-Forward,Ha Noi FC,"End of loanDec 31, 2009",out,0,primeira-liga,2009
Leixões SC,Diogo ValenteD. Valente,24,Left Winger,FC Porto,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Leixões SC,CastanheiraCastanheira,31,Central Midfield,Braga,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Leixões SC,Rodrigo SilvaR. Silva,26,Centre-Forward,Nacional,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Leixões SC,Roberto SousaR. Sousa,24,Defensive Midfield,Celta de Vigo,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Leixões SC,Brandón PoltronieriB. Poltronieri,23,Left-Back,Brujas FC,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Académica Coimbra,Emídio RafaelEmídio Rafael,23,Left-Back,Portimonense,Free Transfer,in,0,primeira-liga,2009
Académica Coimbra,Amaury BischoffA. Bischoff,22,Central Midfield,Arsenal,Free Transfer,in,0,primeira-liga,2009
Académica Coimbra,Jonathan BruJ. Bru,24,Defensive Midfield,AE Pafos,Free Transfer,in,0,primeira-liga,2009
Académica Coimbra,João BarrocaJ. Barroca,22,Goalkeeper,GD Tourizense,Free Transfer,in,0,primeira-liga,2009
Académica Coimbra,Nuno CoelhoN. Coelho,21,Defensive Midfield,FC Porto,Free Transfer,in,0,primeira-liga,2009
Académica Coimbra,André FontesA. Fontes,24,Attacking Midfield,GD Tourizense,?,in,NA,primeira-liga,2009
Académica Coimbra,Krum BibishkovK. Bibishkov,27,Centre-Forward,FCSB II,?,in,NA,primeira-liga,2009
Académica Coimbra,Bruno AmaroB. Amaro,26,Central Midfield,Nacional,Loan,in,0,primeira-liga,2009
Académica Coimbra,Miguel FidalgoM. Fidalgo,27,Centre-Forward,Nacional,Loan,in,0,primeira-liga,2009
Académica Coimbra,João RibeiroJ. Ribeiro,21,Left Winger,Frenaros,?,in,NA,primeira-liga,2009
Académica Coimbra,TraquinaTraquina,21,Right Winger,Estoril,"End of loanDec 31, 2009",in,0,primeira-liga,2009
Académica Coimbra,Christo AmessanChristo Amessan,18,Left Winger,Coimbra B,-,in,0,primeira-liga,2009
Académica Coimbra,Christo AmessanChristo Amessan,19,Left Winger,GD Tourizense,"End of loanDec 31, 2009",in,0,primeira-liga,2009
Académica Coimbra,Paulo SérgioPaulo Sérgio,27,Defensive Midfield,Al-Ettifaq,"End of loanJun 30, 2009",in,0,primeira-liga,2009
Académica Coimbra,Vítor VinhaV. Vinha,22,Left-Back,Estrela Amadora,"End of loanJun 30, 2009",in,0,primeira-liga,2009
Académica Coimbra,Patrick VouhoP. Vouho,22,Centre-Forward,Santa Clara,"End of loanJun 30, 2009",in,0,primeira-liga,2009
Académica Coimbra,Ricardo NunesR. Nunes,26,Goalkeeper,Leiria,"End of loanJun 30, 2009",in,0,primeira-liga,2009
Académica Coimbra,SarmentoSarmento,24,Right-Back,Covilhã,"End of loanJun 30, 2009",in,0,primeira-liga,2009
Académica Coimbra,Pedro RibeiroP. Ribeiro,21,Centre-Forward,GD Tourizense,"End of loanJun 30, 2009",in,0,primeira-liga,2009
Académica Coimbra,TraquinaTraquina,20,Right Winger,GD Tourizense,"End of loanJun 30, 2009",in,0,primeira-liga,2009
Académica Coimbra,Miguel PedroM. Pedro,26,Right Winger,Anorthosis,£180k,out,0.18,primeira-liga,2009
Académica Coimbra,TraquinaTraquina,21,Right Winger,GD Tourizense,Loan,out,0,primeira-liga,2009
Académica Coimbra,Júlio CésarJúlio César,24,Defensive Midfield,Desportivo Aves,Loan,out,0,primeira-liga,2009
Académica Coimbra,Lukasz MadejL. Madej,27,Right Winger,Slask Wroclaw,Free Transfer,out,0,primeira-liga,2009
Académica Coimbra,LicáLicá,21,Left Winger,Trofense,Loan,out,0,primeira-liga,2009
Académica Coimbra,Nuno PilotoN. Piloto,27,Central Midfield,Iraklis,Free Transfer,out,0,primeira-liga,2009
Académica Coimbra,Vítor VinhaV. Vinha,22,Left-Back,Nea Salamis,Free Transfer,out,0,primeira-liga,2009
Académica Coimbra,Christo AmessanChristo Amessan,18,Left Winger,GD Tourizense,Loan,out,0,primeira-liga,2009
Académica Coimbra,Amaury BischoffA. Bischoff,22,Central Midfield,Desportivo Aves,Loan,out,0,primeira-liga,2009
Académica Coimbra,Boris PeskovicB. Peskovic,33,Goalkeeper,CFR Cluj,Free Transfer,out,0,primeira-liga,2009
Académica Coimbra,TraquinaTraquina,20,Right Winger,Estoril,Loan,out,0,primeira-liga,2009
Académica Coimbra,SarmentoSarmento,24,Right-Back,GD Tourizense,?,out,NA,primeira-liga,2009
Académica Coimbra,José Luis GarcésJ. Garcés,28,Centre-Forward,Al-Ettifaq,?,out,NA,primeira-liga,2009
Académica Coimbra,GonçaloGonçalo,22,Defensive Midfield,Santa Clara,Loan,out,0,primeira-liga,2009
Académica Coimbra,Pedro RibeiroP. Ribeiro,21,Centre-Forward,Covilhã,Loan,out,0,primeira-liga,2009
Académica Coimbra,Carlos SaleiroC. Saleiro,23,Centre-Forward,Sporting CP,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Vitória Guimarães SC,Rui MiguelRui Miguel,25,Attacking Midfield,Zaglebie Lubin,£315k,in,0.315,primeira-liga,2009
Vitória Guimarães SC,Carlos MilhazesC. Milhazes,28,Left-Back,FC Timisoara,£180k,in,0.18,primeira-liga,2009
Vitória Guimarães SC,ValdomiroValdomiro,30,Centre-Back,Al-Wasl,Free Transfer,in,0,primeira-liga,2009
Vitória Guimarães SC,Fábio FelicioF. Felicio,27,Central Midfield,Rubin Kazan II,Free Transfer,in,0,primeira-liga,2009
Vitória Guimarães SC,Leandro da SilvaL. da Silva,20,Centre-Back,Benfica,Loan,in,0,primeira-liga,2009
Vitória Guimarães SC,Bruno TelesB. Teles,23,Left-Back,Grêmio,Free Transfer,in,0,primeira-liga,2009
Vitória Guimarães SC,Alex CostaAlex Costa,29,Right-Back,VfL Wolfsburg,Free Transfer,in,0,primeira-liga,2009
Vitória Guimarães SC,Kamani HillK. Hill,23,Centre-Forward,VfL Wolfsburg,Free Transfer,in,0,primeira-liga,2009
Vitória Guimarães SC,RenanRenan,23,Defensive Midfield,Atlético-MG,gratuito,in,NA,primeira-liga,2009
Vitória Guimarães SC,David MendietaD. Mendieta,21,Left Midfield,12 de Octubre,?,in,NA,primeira-liga,2009
Vitória Guimarães SC,David MendietaD. Mendieta,22,Attacking Midfield,12 de Octubre,?,in,NA,primeira-liga,2009
Vitória Guimarães SC,Tiago AlencarTiago Alencar,22,Centre-Back,JMalucelli,?,in,NA,primeira-liga,2009
Vitória Guimarães SC,Jorge GonçalvesJ. Gonçalves,25,Right Winger,Racing,Loan,in,0,primeira-liga,2009
Vitória Guimarães SC,Gustavo LazzarettiGustavo Lazzaretti,25,Centre-Back,Atlético-PR,Loan,in,0,primeira-liga,2009
Vitória Guimarães SC,Cláudio RamosCláudio Ramos,18,Goalkeeper,Guimarães U19,-,in,0,primeira-liga,2009
Vitória Guimarães SC,Vítor PintoVítor Pinto,23,Left-Back,GD Serzedelo,-,in,0,primeira-liga,2009
Vitória Guimarães SC,Vítor BastosVítor Bastos,19,Centre-Back,Guimarães U19,-,in,0,primeira-liga,2009
Vitória Guimarães SC,Tiago TarginoT. Targino,23,Right Winger,Randers FC,"End of loanJun 30, 2009",in,0,primeira-liga,2009
Vitória Guimarães SC,Felipe TigrãoFelipe Tigrão,29,Centre-Forward,Pontevedra,"End of loanJun 1, 2009",in,0,primeira-liga,2009
Vitória Guimarães SC,Paulo HenriqueP. Henrique,22,Defensive Midfield,Covilhã,"End of loanJun 30, 2009",in,0,primeira-liga,2009
Vitória Guimarães SC,Tiago RonaldoTiago Ronaldo,19,Defensive Midfield,Maria da Fonte,"End of loanJun 30, 2009",in,0,primeira-liga,2009
Vitória Guimarães SC,Grégory ArnolinG. Arnolin,28,Centre-Back,Sporting Gijón,£450k,out,0.45,primeira-liga,2009
Vitória Guimarães SC,Henrique SerenoH. Sereno,24,Centre-Back,Real Valladolid,£270k,out,0.27,primeira-liga,2009
Vitória Guimarães SC,CíceroCícero,23,Centre-Forward,Oliveirense,Free Transfer,out,0,primeira-liga,2009
Vitória Guimarães SC,Felipe TigrãoFelipe Tigrão,30,Centre-Forward,Paulista FC,Free Transfer,out,0,primeira-liga,2009
Vitória Guimarães SC,Vítor BastosVítor Bastos,19,Centre-Back,Vizela,Loan,out,0,primeira-liga,2009
Vitória Guimarães SC,WênioWênio,29,Attacking Midfield,Leixões,Free Transfer,out,0,primeira-liga,2009
Vitória Guimarães SC,Santana CarlosSantana Carlos,26,Centre-Forward,Petro Luanda,Free Transfer,out,0,primeira-liga,2009
Vitória Guimarães SC,Nuno SantosNuno Santos,31,Goalkeeper,Vitória Setúbal,Free Transfer,out,0,primeira-liga,2009
Vitória Guimarães SC,DinisDinis,19,Defensive Midfield,Vizela,Loan,out,0,primeira-liga,2009
Vitória Guimarães SC,FajardoFajardo,30,Attacking Midfield,Panthrakikos,Free Transfer,out,0,primeira-liga,2009
Vitória Guimarães SC,Danilo RochaDanilo Rocha,28,Centre-Back,Santa Clara,Free Transfer,out,0,primeira-liga,2009
Vitória Guimarães SC,Tiago AlencarTiago Alencar,23,Centre-Back,Mirassol (SP),Free Transfer,out,0,primeira-liga,2009
Vitória Guimarães SC,Tiago RonaldoTiago Ronaldo,19,Defensive Midfield,Standard Res.,Free Transfer,out,0,primeira-liga,2009
Vitória Guimarães SC,Kamani HillK. Hill,24,Centre-Forward,Desportivo Aves,Loan,out,0,primeira-liga,2009
Vitória Guimarães SC,Paulo HenriqueP. Henrique,22,Defensive Midfield,Varzim,Loan,out,0,primeira-liga,2009
Vitória Guimarães SC,LucasLucas,19,Centre-Forward,GD Serzedelo,Loan,out,0,primeira-liga,2009
Vitória Guimarães SC,LionnLionn,20,Right-Back,Olhanense,Loan,out,0,primeira-liga,2009
Vitória Guimarães SC,David MendietaD. Mendieta,21,Left Midfield,Gondomar,Loan,out,0,primeira-liga,2009
Vitória Guimarães SC,David MendietaD. Mendieta,23,Attacking Midfield,Gondomar,Loan,out,0,primeira-liga,2009
Vitória Guimarães SC,Vítor PintoVítor Pinto,23,Left-Back,Moreirense,?,out,NA,primeira-liga,2009
Vitória Guimarães SC,Carlos MilhazesC. Milhazes,28,Left-Back,Poli. Timisoara,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Vitória Guimarães SC,Luís FilipeLuís Filipe,30,Right-Back,Benfica,"End of loanJun 30, 2009",out,0,primeira-liga,2009
CS Marítimo,Abdelmalek CherradA. Cherrad,28,Centre-Forward,AC Arles,Free Transfer,in,0,primeira-liga,2009
CS Marítimo,Jérémy SapinaJ. Sapina,25,Centre-Back,Exc. Mouscron,Free Transfer,in,0,primeira-liga,2009
CS Marítimo,Cláudio PitbullCláudio Pitbull,27,Centre-Forward,FC Porto,Free Transfer,in,0,primeira-liga,2009
CS Marítimo,PeçanhaPeçanha,29,Goalkeeper,Thrasyvoulos,Free Transfer,in,0,primeira-liga,2009
CS Marítimo,RobsonRobson,25,Centre-Back,Vitória Setúbal,Free Transfer,in,0,primeira-liga,2009
CS Marítimo,TchôTchô,22,Attacking Midfield,Atlético-MG,Free Transfer,in,0,primeira-liga,2009
CS Marítimo,Miguel ÂngeloMiguel Ângelo,24,Centre-Back,Trofense,Free Transfer,in,0,primeira-liga,2009
CS Marítimo,AlonsoAlonso,28,Left-Back,Nacional,Free Transfer,in,0,primeira-liga,2009
CS Marítimo,Mourtala DiakitéM. Diakité,29,Centre-Back,Belenenses,Loan,in,0,primeira-liga,2009
CS Marítimo,Roberto SousaR. Sousa,24,Defensive Midfield,Celta de Vigo,?,in,NA,primeira-liga,2009
CS Marítimo,Rafael MirandaR. Miranda,25,Defensive Midfield,Atlético-MG,?,in,NA,primeira-liga,2009
CS Marítimo,KléberKléber,19,Centre-Forward,Atlético-MG,Loan,in,0,primeira-liga,2009
CS Marítimo,Mateusz BakM. Bak,26,Goalkeeper,Lechia Gdansk,Loan,in,0,primeira-liga,2009
CS Marítimo,Tito SilvaT. Silva,23,Midfielder,Marítimo B,-,in,0,primeira-liga,2009
CS Marítimo,Dylan DuventruD. Duventru,20,Right Midfield,Marítimo B,-,in,0,primeira-liga,2009
CS Marítimo,Pedro MoutinhoP. Moutinho,29,Centre-Forward,Rio Ave FC,"End of loanJul 1, 2009",in,0,primeira-liga,2009
CS Marítimo,AdrianoAdriano,30,Defensive Midfield,Bragantino,"End of loanJun 30, 2009",in,0,primeira-liga,2009
CS Marítimo,João CoimbraJ. Coimbra,23,Attacking Midfield,Gil Vicente,"End of loanJun 30, 2009",in,0,primeira-liga,2009
CS Marítimo,André PintoAndré Pinto,30,Centre-Forward,Paços Ferreira,"End of loanJun 30, 2009",in,0,primeira-liga,2009
CS Marítimo,MarcinhoMarcinho,28,Attacking Midfield,APOEL Nicosia,£180k,out,0.18,primeira-liga,2009
CS Marítimo,BalúBalú,24,Defensive Midfield,Portimonense,Loan,out,0,primeira-liga,2009
CS Marítimo,Antoine van der LindenA. van der Linden,33,Centre-Back,Heracles Almelo,Free Transfer,out,0,primeira-liga,2009
CS Marítimo,ChristopherChristopher,24,Goalkeeper,União Madeira,Free Transfer,out,0,primeira-liga,2009
CS Marítimo,Vítor JúniorVítor Júnior,24,Forward,Varzim,Loan,out,0,primeira-liga,2009
CS Marítimo,MiguelitoMiguelito,28,Left-Back,Belenenses,Loan,out,0,primeira-liga,2009
CS Marítimo,Carlos De FreitasC. De Freitas,21,Left-Back,Mineros,Free Transfer,out,0,primeira-liga,2009
CS Marítimo,Fernando CardozoF. Cardozo,30,Centre-Back,Leixões,Loan,out,0,primeira-liga,2009
CS Marítimo,OlberdamOlberdam,24,Central Midfield,Braga,Loan,out,0,primeira-liga,2009
CS Marítimo,Víctor AquinoV. Aquino,23,Centre-Forward,Nacional,?,out,NA,primeira-liga,2009
CS Marítimo,YtaloYtalo,21,Centre-Forward,Inter B,Loan,out,0,primeira-liga,2009
CS Marítimo,Carlos De FreitasC. De Freitas,21,Left-Back,Mineros,?,out,NA,primeira-liga,2009
CS Marítimo,Carlos FernandesC. Fernandes,31,Left-Back,Olhanense,?,out,NA,primeira-liga,2009
CS Marítimo,Enzo GutiérrezE. Gutiérrez,23,Centre-Forward,Rangers Talca,?,out,NA,primeira-liga,2009
CS Marítimo,LeloLelo,26,Centre-Forward,Varzim,Loan,out,0,primeira-liga,2009
CS Marítimo,Miguel ÂngeloMiguel Ângelo,25,Centre-Back,Olhanense,Loan,out,0,primeira-liga,2009
CS Marítimo,João CoimbraJ. Coimbra,23,Attacking Midfield,Estoril,?,out,NA,primeira-liga,2009
CS Marítimo,Gonçalo AbreuG. Abreu,23,Right Winger,Varzim,Loan,out,0,primeira-liga,2009
CS Marítimo,Zé GomesZé Gomes,33,Right-Back,Rio Ave FC,?,out,NA,primeira-liga,2009
CS Marítimo,Bruno GrassiB. Grassi,22,Goalkeeper,GD Tourizense,Loan,out,0,primeira-liga,2009
CS Marítimo,MarcosMarcos,33,Goalkeeper,Without Club,-,out,0,primeira-liga,2009
CS Marítimo,Rodrigo AntônioRodrigo Antônio,21,Defensive Midfield,Marítimo B,-,out,0,primeira-liga,2009
CS Marítimo,Pedro MoutinhoP. Moutinho,29,Centre-Forward,Without Club,-,out,0,primeira-liga,2009
CS Marítimo,AdrianoAdriano,30,Defensive Midfield,Marítimo B,-,out,0,primeira-liga,2009
CS Marítimo,André PintoAndré Pinto,30,Centre-Forward,Without Club,-,out,0,primeira-liga,2009
FC Paços de Ferreira,André LeãoA. Leão,24,Defensive Midfield,CFR Cluj,Free Transfer,in,0,primeira-liga,2009
FC Paços de Ferreira,Evandro RoncattoE. Roncatto,23,Right Winger,Belenenses,Free Transfer,in,0,primeira-liga,2009
FC Paços de Ferreira,Filipe MendesF. Mendes,24,Goalkeeper,Estrela Amadora,Free Transfer,in,0,primeira-liga,2009
FC Paços de Ferreira,António FilipeAntónio Filipe,24,Goalkeeper,Gondomar,Free Transfer,in,0,primeira-liga,2009
FC Paços de Ferreira,DanielsonDanielson,28,Centre-Back,Khimki,Free Transfer,in,0,primeira-liga,2009
FC Paços de Ferreira,BrunoBruno,20,Central Midfield,Inter B,Free Transfer,in,0,primeira-liga,2009
FC Paços de Ferreira,BerlinBerlin,22,Centre-Forward,CA Monzon,Free Transfer,in,0,primeira-liga,2009
FC Paços de Ferreira,BaianoBaiano,22,Right-Back,Belenenses,Free Transfer,in,0,primeira-liga,2009
FC Paços de Ferreira,LeandrinhoLeandrinho,23,Right Winger,Herediano,Free Transfer,in,0,primeira-liga,2009
FC Paços de Ferreira,MaykonMaykon,25,Left-Back,Belenenses,?,in,NA,primeira-liga,2009
FC Paços de Ferreira,Leonel OlímpioL. Olímpio,26,Defensive Midfield,Gil Vicente,?,in,NA,primeira-liga,2009
FC Paços de Ferreira,Abdramane DiarraA. Diarra,20,Centre-Forward,EF Ouagadougou,?,in,NA,primeira-liga,2009
FC Paços de Ferreira,PizziPizzi,20,Central Midfield,Braga,Loan,in,0,primeira-liga,2009
FC Paços de Ferreira,CielCiel,27,Second Striker,Villa Rio,Loan,in,0,primeira-liga,2009
FC Paços de Ferreira,CarlitosCarlitos,20,Right Winger,Oliveirense,?,in,NA,primeira-liga,2009
FC Paços de Ferreira,Mario RondónM. Rondón,23,Centre-Forward,Pontassolense,?,in,NA,primeira-liga,2009
FC Paços de Ferreira,Daniel CandeiasD. Candeias,21,Right Winger,FC Porto,Loan,in,0,primeira-liga,2009
FC Paços de Ferreira,José CoelhoJosé Coelho,19,Attacking Midfield,Benfica,Loan,in,0,primeira-liga,2009
FC Paços de Ferreira,Jason DavidsonJ. Davidson,18,Left-Back,Paços F. U19,-,in,0,primeira-liga,2009
FC Paços de Ferreira,Diogo BrandãoD. Brandão,19,Attacking Midfield,Paços F. U19,-,in,0,primeira-liga,2009
FC Paços de Ferreira,LivramentoLivramento,27,Attacking Midfield,Without Club,-,in,0,primeira-liga,2009
FC Paços de Ferreira,Manuel JoséManuel José,28,Right Winger,Without Club,-,in,0,primeira-liga,2009
FC Paços de Ferreira,LealLeal,21,Central Midfield,Rebordosa AC,"End of loanDec 31, 2009",in,0,primeira-liga,2009
FC Paços de Ferreira,Tiago ValenteT. Valente,24,Centre-Back,Desportivo Aves,"End of loanJun 30, 2009",in,0,primeira-liga,2009
FC Paços de Ferreira,JorginhoJorginho,21,Right Winger,Rebordosa AC,"End of loanJun 30, 2009",in,0,primeira-liga,2009
FC Paços de Ferreira,Romeu TorresR. Torres,22,Centre-Forward,Desportivo Aves,"End of loanJun 30, 2009",in,0,primeira-liga,2009
FC Paços de Ferreira,Fábio PachecoF. Pacheco,21,Defensive Midfield,Rebordosa AC,"End of loanJun 30, 2009",in,0,primeira-liga,2009
FC Paços de Ferreira,CristianoCristiano,26,Left Winger,PAOK Saloniki,£180k,out,0.18,primeira-liga,2009
FC Paços de Ferreira,Bruno ConceicãoB. Conceicão,27,Goalkeeper,Beira-Mar,Free Transfer,out,0,primeira-liga,2009
FC Paços de Ferreira,Carlos CarneiroCarlos Carneiro,35,Centre-Forward,Vizela,Free Transfer,out,0,primeira-liga,2009
FC Paços de Ferreira,LealLeal,21,Central Midfield,Rebordosa AC,Loan,out,0,primeira-liga,2009
FC Paços de Ferreira,Antonieliton FerreiraAntonieliton Ferreira,26,Right-Back,Treze FC,Free Transfer,out,0,primeira-liga,2009
FC Paços de Ferreira,Chico SilvaC. Silva,31,Left-Back,Oliveirense,Free Transfer,out,0,primeira-liga,2009
FC Paços de Ferreira,Evandro RoncattoE. Roncatto,23,Right Winger,Ermis Aradippou,Free Transfer,out,0,primeira-liga,2009
FC Paços de Ferreira,DédéDédé,28,Defensive Midfield,AC Arles,Free Transfer,out,0,primeira-liga,2009
FC Paços de Ferreira,Edson NobreE. Nobre,29,Right Midfield,Ethnikos,Free Transfer,out,0,primeira-liga,2009
FC Paços de Ferreira,JorginhoJorginho,21,Right Winger,Oliveirense,Loan,out,0,primeira-liga,2009
FC Paços de Ferreira,Diogo BrandãoD. Brandão,19,Attacking Midfield,Rebordosa AC,Loan,out,0,primeira-liga,2009
FC Paços de Ferreira,KikoKiko,30,Centre-Back,Gil Vicente,Loan,out,0,primeira-liga,2009
FC Paços de Ferreira,PedrinhaPedrinha,31,Central Midfield,Chern. Burgas,?,out,NA,primeira-liga,2009
FC Paços de Ferreira,Leandro TatuL. Tatu,27,Second Striker,Santa Clara,?,out,NA,primeira-liga,2009
FC Paços de Ferreira,Pedro QueirósP. Queirós,24,Right-Back,Oliveirense,Loan,out,0,primeira-liga,2009
FC Paços de Ferreira,WilliamWilliam,27,Centre-Forward,Anzhi,?,out,NA,primeira-liga,2009
FC Paços de Ferreira,Filipe GonçalvesF. Gonçalves,24,Defensive Midfield,Trofense,?,out,NA,primeira-liga,2009
FC Paços de Ferreira,Mario RondónM. Rondón,23,Centre-Forward,Beira-Mar,Loan,out,0,primeira-liga,2009
FC Paços de Ferreira,Abdramane DiarraA. Diarra,21,Centre-Forward,Beira-Mar,Loan,out,0,primeira-liga,2009
FC Paços de Ferreira,Tiago ValenteT. Valente,24,Centre-Back,Desportivo Aves,?,out,NA,primeira-liga,2009
FC Paços de Ferreira,OzéiaOzéia,28,Centre-Back,Grêmio,Loan,out,0,primeira-liga,2009
FC Paços de Ferreira,Filipe MendesF. Mendes,24,Goalkeeper,Without Club,-,out,0,primeira-liga,2009
FC Paços de Ferreira,Livio PrietoL. Prieto,27,Left Winger,Without Club,-,out,0,primeira-liga,2009
FC Paços de Ferreira,Pedro CorreiaPedro Correia,34,Goalkeeper,Retired,-,out,0,primeira-liga,2009
FC Paços de Ferreira,CielCiel,27,Second Striker,Villa Rio,"End of loanDec 1, 2009",out,0,primeira-liga,2009
FC Paços de Ferreira,André PintoAndré Pinto,30,Centre-Forward,Marítimo,"End of loanJun 30, 2009",out,0,primeira-liga,2009
FC Paços de Ferreira,DanielsonDanielson,28,Centre-Back,Khimki,"End of loanJun 30, 2009",out,0,primeira-liga,2009
FC Paços de Ferreira,Rui MiguelRui Miguel,25,Attacking Midfield,Zaglebie Lubin,"End of loanJun 30, 2009",out,0,primeira-liga,2009
FC Paços de Ferreira,Hélder GuedesH. Guedes,22,Centre-Forward,Penafiel,"End of loanJun 30, 2009",out,0,primeira-liga,2009
Rio Ave FC,Felipe AlbertoFelipe Alberto,21,Left Winger,União São João,Free Transfer,in,0,primeira-liga,2009
Rio Ave FC,Ricardo ChavesR. Chaves,31,Defensive Midfield,Vitória Setúbal,Free Transfer,in,0,primeira-liga,2009
Rio Ave FC,SidneiSidnei,22,Left Winger,Boavista,Free Transfer,in,0,primeira-liga,2009
Rio Ave FC,Nélson OliveiraN. Oliveira,18,Centre-Forward,Benfica,Loan,in,0,primeira-liga,2009
Rio Ave FC,João TomásJ. Tomás,34,Centre-Forward,Boavista,Free Transfer,in,0,primeira-liga,2009
