club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
FC Nantes,Alexis Thébaux,19,Goalkeeper,FC Nantes B,-,in,Summer,0,Ligue 1,2004,2004/2005
FC Nantes,Guillaume Rippert,19,Left-Back,FC Nantes B,-,in,Summer,0,Ligue 1,2004,2004/2005
FC Nantes,Boubacar Baldé,18,attack,FC Nantes U19,-,in,Summer,0,Ligue 1,2004,2004/2005
FC Nantes,Bocundji Ca,17,Defensive Midfield,FC Nantes B,-,in,Summer,0,Ligue 1,2004,2004/2005
FC Nantes,Fouad Bouguerra,23,Centre-Forward,FC Nantes B,-,in,Summer,0,Ligue 1,2004,2004/2005
FC Nantes,Ariza Makukula,23,Centre-Forward,Real Valladolid,"End of loanJun 30, 2004",in,Summer,0,Ligue 1,2004,2004/2005
FC Nantes,Goran Rubil,23,Right Midfield,Stade Lavallois,"End of loanJun 30, 2004",in,Summer,0,Ligue 1,2004,2004/2005
FC Nantes,Mario Yepes,28,Centre-Back,Paris SG,£9.00m,out,Summer,9,Ligue 1,2004,2004/2005
FC Nantes,Sylvain Armand,23,Left-Back,Paris SG,£4.50m,out,Summer,4.5,Ligue 1,2004,2004/2005
FC Nantes,Ariza Makukula,23,Centre-Forward,Sevilla FC,£3.15m,out,Summer,3.15,Ligue 1,2004,2004/2005
FC Nantes,Mathieu Berson,24,Defensive Midfield,Aston Villa,£2.07m,out,Summer,2.07,Ligue 1,2004,2004/2005
FC Nantes,Marama Vahirua,24,Centre-Forward,OGC Nice,£450Th.,out,Summer,0.45,Ligue 1,2004,2004/2005
FC Nantes,Nicolas Gillet,27,Centre-Back,Lens,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
FC Nantes,Sébastien Pauvert,26,Goalkeeper,Quevilly,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
FC Nantes,Jean-Hugues Ateba,22,Left-Back,Paris SG,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
FC Nantes,Viorel Moldovan,31,Centre-Forward,Servette FC,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
FC Nantes,Stéphane Ziani,32,Attacking Midfield,Servette FC,free transfer,out,Summer,NA,Ligue 1,2004,2004/2005
