club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Roda JC Kerkrade,Humphrey Rudge,26,Centre-Back,VVV-Venlo,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
Roda JC Kerkrade,Fatih Sonkaya,23,Right-Back,Besiktas,£450Th.,out,Summer,0.45,Eredivisie,2004,2004/2005
Roda JC Kerkrade,Bas Roorda,31,Goalkeeper,FC Groningen,?,out,Summer,NA,Eredivisie,2004,2004/2005
Roda JC Kerkrade,Seydihan Baslanti,20,Centre-Forward,C. Rizespor,?,out,Summer,NA,Eredivisie,2004,2004/2005
Roda JC Kerkrade,Alain Van Mieghem,22,Left Midfield,Royal Antwerp,?,out,Summer,NA,Eredivisie,2004,2004/2005
Roda JC Kerkrade,Marco van Hoogdalem,32,Centre-Back,FC Schalke 04,"End of loanJun 30, 2004",out,Summer,0,Eredivisie,2004,2004/2005
Roda JC Kerkrade,Iwan Redan,23,Centre-Forward,RKC Waalwijk,"End of loanJun 30, 2004",out,Summer,0,Eredivisie,2004,2004/2005
Roda JC Kerkrade,Youssef Sofiane,20,Centre-Forward,West Ham,"End of loanMay 1, 2005",out,Summer,0,Eredivisie,2004,2004/2005
Willem II Tilburg,Michel Kreek,33,Left-Back,AEK Athens,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
Willem II Tilburg,Martijn Reuser,29,Attacking Midfield,Ipswich,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
Willem II Tilburg,Rob Oomens,23,Right Midfield,Helmond Sport,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
Willem II Tilburg,Oscar Moens,31,Goalkeeper,Genoa,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
Willem II Tilburg,Marko Kolsi,19,Central Midfield,FC Jokerit,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
Willem II Tilburg,Iwan Redan,23,Centre-Forward,RKC Waalwijk,free transfer,in,Summer,NA,Eredivisie,2004,2004/2005
Willem II Tilburg,Kevin Bobson,23,Left Winger,Espanyol,?,in,Summer,NA,Eredivisie,2004,2004/2005
Willem II Tilburg,Albert van der Haar,28,Defensive Midfield,FC Zwolle,?,in,Summer,NA,Eredivisie,2004,2004/2005
Willem II Tilburg,Kemy Agustien,17,Defensive Midfield,Willem II/RKC-19,-,in,Summer,0,Eredivisie,2004,2004/2005
Willem II Tilburg,Arjan Swinkels,19,Centre-Back,Willem II U21,-,in,Summer,0,Eredivisie,2004,2004/2005
Willem II Tilburg,Steef Nieuwendaal,18,Defensive Midfield,Willem II/RKC-19,-,in,Summer,0,Eredivisie,2004,2004/2005
Willem II Tilburg,Bas Smulders,18,Attacking Midfield,Willem II/RKC-19,-,in,Summer,0,Eredivisie,2004,2004/2005
Willem II Tilburg,Frank van Kouwen,23,Centre-Back,FC Eindhoven,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
Willem II Tilburg,Özcan Özkaya,23,attack,FC Eindhoven,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
Willem II Tilburg,Marcel Meeuwis,23,Defensive Midfield,VVV-Venlo,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
Willem II Tilburg,Mourad Mghizrat,29,midfield,Emmen,"End of loanJun 30, 2004",in,Summer,0,Eredivisie,2004,2004/2005
Willem II Tilburg,Frank van Kouwen,23,Centre-Back,VVV-Venlo,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Willem II Tilburg,Geert De Vlieger,32,Goalkeeper,Man City,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Willem II Tilburg,Mourad Mghizrat,29,midfield,FC Den Bosch,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Willem II Tilburg,Marcel Meeuwis,23,Defensive Midfield,VVV-Venlo,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Willem II Tilburg,Kew Jaliens,25,Centre-Back,AZ Alkmaar,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Willem II Tilburg,Joris Mathijsen,24,Centre-Back,AZ Alkmaar,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Willem II Tilburg,Dmitri Shukov,28,Left Midfield,Twente FC,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Willem II Tilburg,Tarik Sektioui,27,Right Winger,AZ Alkmaar,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
Willem II Tilburg,Youssef Mariana,30,Left Midfield,Wydad AC,free transfer,out,Summer,NA,Eredivisie,2004,2004/2005
