club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
SC Braga,Chindeu Vine,18,Centre-Forward,Portsmouth,loan transfer,in,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Jaka,21,Centre-Back,Vizela,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SC Braga,Hugo Lopes,22,Centre-Back,Vizela,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SC Braga,Yazalde,23,Centre-Forward,Rio Ave FC,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SC Braga,Cristiano Figueiredo,21,Goalkeeper,Valencia,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SC Braga,Zé Luís,21,Centre-Forward,Gil Vicente,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SC Braga,Ladji Keita,29,Centre-Forward,Nacional,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SC Braga,Rodrigo Galo,25,Right-Back,Gil Vicente,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SC Braga,Rui Vieira,20,Goalkeeper,Vizela,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SC Braga,Guilherme,21,Attacking Midfield,Gil Vicente,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SC Braga,Juankar,22,Left-Back,Real Zaragoza,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SC Braga,Nuno Henrique,25,Centre-Back,Feirense,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SC Braga,Diego Silva,22,Goalkeeper,Vizela,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SC Braga,Dani Coelho,22,Right-Back,SC Covilhã,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SC Braga,Mário Felgueiras,25,Goalkeeper,FC Brasov,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SC Braga,Fernando Alexandre,26,Defensive Midfield,Olhanense,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
SC Braga,Lima,29,Centre-Forward,Benfica,£3.60m,out,Summer,3.6,Liga Nos,2012,2012/2013
SC Braga,Mário Felgueiras,25,Goalkeeper,CFR Cluj,£450Th.,out,Summer,0.45,Liga Nos,2012,2012/2013
SC Braga,Diego Silva,22,Goalkeeper,Vilaverdense,free transfer,out,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Dani Coelho,22,Right-Back,Arouca,free transfer,out,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Rui Vieira,20,Goalkeeper,SC Covilhã,free transfer,out,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Marco Ramos,29,Left-Back,AJ Auxerre,free transfer,out,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Tommaso Berni,29,Goalkeeper,Sampdoria,free transfer,out,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Emmanuel Imorou,23,Left-Back,Clermont Foot,free transfer,out,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Nuno Gomes,35,Centre-Forward,Blackburn,free transfer,out,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Rodrigo Galo,25,Right-Back,Coimbra,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Fernando Alexandre,26,Defensive Midfield,Olhanense,?,out,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Nuno Henrique,25,Centre-Back,Coimbra,?,out,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Ladji Keita,29,Centre-Forward,Nacional,?,out,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Hugo Lopes,22,Centre-Back,Varzim,?,out,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Juankar,22,Left-Back,Real Betis,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Vinicius,26,Central Midfield,Moreirense,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Luís Alberto,28,Defensive Midfield,CFR Cluj,loan transfer,out,Summer,NA,Liga Nos,2012,2012/2013
SC Braga,Palmeira,22,Centre-Back,Braga B,-,out,Summer,0,Liga Nos,2012,2012/2013
SC Braga,Édson Rivera,20,Central Midfield,Braga B,-,out,Summer,0,Liga Nos,2012,2012/2013
SC Braga,Guilherme,21,Attacking Midfield,Braga B,-,out,Summer,0,Liga Nos,2012,2012/2013
SC Braga,Carlao,25,Centre-Forward,Kashima Antlers,"End of loanJun 30, 2012",out,Summer,0,Liga Nos,2012,2012/2013
SC Braga,Miguel Lopes,25,Right-Back,FC Porto,"End of loanJun 30, 2012",out,Summer,0,Liga Nos,2012,2012/2013
SC Braga,Ewerton,23,Centre-Back,Coimbra-MG,"End of loanJun 30, 2012",out,Summer,0,Liga Nos,2012,2012/2013
SC Braga,Ukra,24,Right Winger,FC Porto,"End of loanJun 30, 2012",out,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,Marcos Rojo,22,Centre-Back,Spartak Moscow,£3.60m,in,Summer,3.6,Liga Nos,2012,2012/2013
Sporting CP,Valentín Viola,20,Left Winger,Racing Club,£3.60m,in,Summer,3.6,Liga Nos,2012,2012/2013
Sporting CP,Zakaria Labyad,19,Attacking Midfield,PSV Eindhoven,£810Th.,in,Summer,0.81,Liga Nos,2012,2012/2013
Sporting CP,Gelson Fernandes,25,Defensive Midfield,Saint-Étienne,free transfer,in,Summer,NA,Liga Nos,2012,2012/2013
Sporting CP,Danijel Pranjic,30,Left-Back,FC Bayern,free transfer,in,Summer,NA,Liga Nos,2012,2012/2013
Sporting CP,Khalid Boulahrouz,30,Centre-Back,VfB Stuttgart,free transfer,in,Summer,NA,Liga Nos,2012,2012/2013
Sporting CP,Fabrice Fokobo,18,Defensive Midfield,Njalla Quan SA,?,in,Summer,NA,Liga Nos,2012,2012/2013
Sporting CP,Eric Dier,18,Centre-Back,Sporting U19,-,in,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,Mexer,23,Centre-Back,Olhanense,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,André Marques,24,Left-Back,Beira-Mar,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,Adrien Silva,23,Central Midfield,Coimbra,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,Florent Sinama-Pongolle,27,Second Striker,Saint-Étienne,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,Cédric Soares,20,Right-Back,Coimbra,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,Wilson Eduardo,21,Left Winger,Olhanense,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,Jaime Valdés,31,Central Midfield,Parma,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,Diogo Rosado,22,Left Winger,Feirense,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,Celsinho,23,Attacking Midfield,FCM Targu Mures,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,Amido Baldé,21,Centre-Forward,Cercle Brugge,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,Pedro Mendes,21,Centre-Back,RM Castilla,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,Atila Turan,20,Left-Back,Beira-Mar,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,Leandro Grimi,27,Left-Back,KRC Genk,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,Valeri Bojinov,26,Centre-Forward,Lecce,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,Miguel Serôdio,20,Centre-Back,Moura,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,Luis Aguiar,26,Central Midfield,Peñarol,"End of loanJun 30, 2012",in,Summer,0,Liga Nos,2012,2012/2013
Sporting CP,João Pereira,28,Right-Back,Valencia,£3.33m,out,Summer,3.33,Liga Nos,2012,2012/2013
Sporting CP,Matías Fernández,26,Attacking Midfield,Fiorentina,£2.82m,out,Summer,2.82,Liga Nos,2012,2012/2013
Sporting CP,Jaime Valdés,31,Central Midfield,Parma,£1.62m,out,Summer,1.62,Liga Nos,2012,2012/2013
Sporting CP,Luis Aguiar,26,Central Midfield,San Lorenzo,£360Th.,out,Summer,0.36,Liga Nos,2012,2012/2013
Sporting CP,Diogo Rosado,22,Left Winger,Blackburn,free transfer,out,Summer,NA,Liga Nos,2012,2012/2013
